L_q,admitted,candidate_id,continuation_runtime,failure_reason,fraction_R_G_ge_1p1,fraction_R_G_ge_1p2,fraction_R_G_ge_1p5,fraction_R_G_ge_2p0,full_lift_found,job_id,max_log_kappa_R,median_log_kappa_R,metric_samples,min_joint_limit_margin_normalized,min_sigma_min_5,minimum_absolute_joint_margin_rad,p75_log_kappa_R,p90_log_kappa_R,rotation_delta_degrees,strict_kinematics_pass,surface_id,total_runtime,transform_base_from_surface,translation_delta_m,witness_file
,False,T13,9.014531159773469,joint_margin_interior_gate,,,,,True,hemisphere/T13,,,,,0.1890969530197379,0.0,,,"[6.546257812761031, -3.4638577437963125, 9.976054178984832]",,hemisphere,14.873878320679069,"[[0.7278956463186913, -0.6615193090995508, -0.18044426219403023, -0.18753987041161246], [0.6827476237105081, 0.7235723941227545, 0.10148237670216348, 0.4478134073166915], [0.06343193507965297, -0.1970664714047482, 0.9783359318046805, 0.3115165055827536], [0.0, 0.0, 0.0, 1.0]]","[-0.01276815134508763, 0.010857319833863316, 0.03016301778072278]",
,False,T14,4.62817067746073,continuous_lift_not_found_under_budget,,,,,False,hemisphere/T14,,,,,,,,,"[-7.224747871426882, -8.764422852613226, 2.285385387124478]",,hemisphere,4.721092166379094,"[[0.8236535701601783, -0.5065256534724879, -0.255003056328079, -0.1985578545137754], [0.5669783206590843, 0.7445892543350524, 0.3523101279148463, 0.4570707737242994], [0.01141841779744041, -0.4347626993004804, 0.9004726620125472, 0.25758995929139156], [0.0, 0.0, 0.0, 1.0]]","[-0.023786135447250542, 0.020114686241471183, -0.023763528510639308]",
,False,T15,5.371649136766791,joint_margin_interior_gate,,,,,True,hemisphere/T15,,,,,0.1848679560226201,0.0,,,"[3.5750212003428246, 5.94897331071194, 10.381937204652477]",,hemisphere,9.586443431675434,"[[0.7193076746186631, -0.6939697022949588, -0.031662620411738916, -0.15380938158688523], [0.6871337374314506, 0.7040377214561238, 0.1793825901539945, 0.48839047177985634], [-0.10219440355605532, -0.15078772849113395, 0.9832697314665524, 0.24324286996037026], [0.0, 0.0, 0.0, 1.0]]","[0.020962337479639603, 0.051434384297028124, -0.0381106178416606]",
109.17598924210102,True,T16,9.539004744030535,,0.975,0.9291666666666667,0.7583333333333333,0.325,True,hemisphere/T16,4.084925893894045,1.094820700508936,240,0.09386772874823937,0.2428187287451842,0.589770939725188,1.5147526001957596,2.480969236270924,"[-4.921655942094951, 8.634939696204706, 15.382949594107197]",True,hemisphere,16.215336287394166,"[[0.6417096441684951, -0.7655663979383195, -0.0460089440097296, -0.1805635638017946], [0.7345160906088789, 0.5962066417281563, 0.32407368451616547, 0.4599068828642675], [-0.22066908532414045, -0.24175551846231108, 0.9449123896294441, 0.28896423279404515], [0.0, 0.0, 0.0, 1.0]]","[-0.005791844735269766, 0.02295079538143932, 0.007610744992014307]",results/riemannian_anisotropy_utility_v1/r0_scene_calibration/witnesses/hemisphere_T16.npz
87.00982932707518,True,T17,3.702444603666663,,0.9916666666666667,0.95,0.7291666666666666,0.25833333333333336,True,hemisphere/T17,2.760891301432454,1.0892809050483212,240,0.14474964713100286,0.2930678570687822,0.909462032924091,1.3925502947923651,1.8255500559176054,"[-1.5060095966218958, 1.5390770757039611, -14.649926285886997]",True,hemisphere,8.235617362894118,"[[0.9455624951587676, -0.3254062033862579, -0.004729751247911746, -0.23390123664261608], [0.313798209963712, 0.9077869540092491, 0.27830474224162943, 0.38220461311372544], [-0.08626848307867648, -0.2646387139636811, 0.9604811814392582, 0.2726999347937568], [0.0, 0.0, 0.0, 1.0]]","[-0.059129517576091244, -0.054751474369102784, -0.008653553008274029]",results/riemannian_anisotropy_utility_v1/r0_scene_calibration/witnesses/hemisphere_T17.npz
,False,T18,3.208647670224309,continuous_lift_not_found_under_budget,,,,,False,hemisphere/T18,,,,,,,,,"[9.42527935949656, -3.4107713473034167, 11.525201984913963]",,hemisphere,3.4195081600919366,"[[0.707897249984444, -0.6848982025402545, -0.1726149924589129, -0.13784852350143], [0.7005536397851299, 0.7119845193210042, 0.04798585240511492, 0.4199695297530979], [0.09003377837383268, -0.15489511420431443, 0.9838198119307031, 0.22293527914873718], [0.0, 0.0, 0.0, 1.0]]","[0.036923195565094824, -0.01698655772973031, -0.058418208653293655]",
,False,T19,7.813050689175725,joint_margin_interior_gate,,,,,True,hemisphere/T19,,,,,0.27636373555836036,0.0,,,"[-8.15515246729418, 4.6919885442987095, -10.490295754206901]",,hemisphere,13.334854356013238,"[[0.9073714545627157, -0.41801961570055207, 0.04400732137161141, -0.17759856707177862], [0.37272892990373063, 0.8485884425611283, 0.3754607835240571, 0.49464317676521097], [-0.19429407674337723, -0.3242795954747103, 0.9257929334906358, 0.3021586745775632], [0.0, 0.0, 0.0, 1.0]]","[-0.0028268480052537973, 0.05768708928238277, 0.020805186775532364]",
,False,T20,3.355586285702884,continuous_lift_not_found_under_budget,,,,,False,hemisphere/T20,,,,,,,,,"[-0.9666356432527614, 7.511359353278046, -3.943854820867326]",,hemisphere,3.456525486893952,"[[0.8580364148544601, -0.5117468506339172, 0.043458850076503734, -0.2082025795613142], [0.4854522475906223, 0.8357439440670164, 0.2566479597902952, 0.38037372460067914], [-0.1676592559118582, -0.19911609885083392, 0.9655273963412467, 0.2535111670021797], [0.0, 0.0, 0.0, 1.0]]","[-0.033430860494789355, -0.05658236288214908, -0.027842320799851175]",
,False,T21,2.7639920338988304,continuous_lift_not_found_under_budget,,,,,False,hemisphere/T21,,,,,,,,,"[9.580224303252024, -7.053272806615163, 15.898854415680582]",,hemisphere,2.920368779450655,"[[0.6451469062846948, -0.7270653698745223, -0.23486467857153612, -0.19696359726810353], [0.7503137203901064, 0.6609103210345023, 0.015062156035180935, 0.4217162160922592], [0.14427331806555257, -0.18593949413531013, 0.9719113715843954, 0.28753237387934605], [0.0, 0.0, 0.0, 1.0]]","[-0.02219187820157871, -0.015239871390569065, 0.006178886077315232]",
86.02529342615799,True,T22,6.3032791977748275,,0.9833333333333333,0.9666666666666667,0.7833333333333333,0.32083333333333336,True,hemisphere/T22,2.919637656819052,1.1658537181077744,240,0.02529197921369313,0.32608667138262354,0.31782862175136906,1.4892646570629433,1.8163316901850295,"[-7.250193845075916, 6.986677304047802, -16.074719385553212]",True,hemisphere,11.088104971684515,"[[0.9327426607044057, -0.3425032814496445, 0.11261718828976224, -0.11789703449908677], [0.28656690025468445, 0.8938200972860528, 0.3449130982812528, 0.4199118092533572], [-0.2187933741695298, -0.2894428024390605, 0.9318542394257456, 0.30394696823382433], [0.0, 0.0, 0.0, 1.0]]","[0.056874684567438064, -0.017044278229471008, 0.02259348043179349]",results/riemannian_anisotropy_utility_v1/r0_scene_calibration/witnesses/hemisphere_T22.npz
,False,T23,0.9136228356510401,continuous_lift_not_found_under_budget,,,,,False,hemisphere/T23,,,,,,,,,"[6.169109665935818, 8.638968673053348, -8.796375085223481]",,hemisphere,1.0623140940442681,"[[0.9031651879379343, -0.4237275335473228, 0.06890297969564432, -0.1821346006940201], [0.4131436393134484, 0.901529583024768, 0.1286730128116499, 0.4387241881295926], [-0.11664037290696176, -0.08774615800757485, 0.9892904705712243, 0.2342669300899926], [0.0, 0.0, 0.0, 1.0]]","[-0.007362881627495266, 0.0017681006467643312, -0.04708655771203824]",
,False,T24,2.884119214490056,continuous_lift_not_found_under_budget,,,,,False,hemisphere/T24,,,,,,,,,"[4.991027613163389, -4.455341329289551, -4.7583767622157325]",,hemisphere,3.2679484924301505,"[[0.8775503631428293, -0.45091896337345866, -0.16302591394650762, -0.1335982339953175], [0.4753161656606532, 0.8628301881353887, 0.1720424630836947, 0.4409546500198197], [0.06308647089149272, -0.2284647782754607, 0.9715060176231547, 0.3305862471513119], [0.0, 0.0, 0.0, 1.0]]","[0.04117348507120734, 0.003998562536991462, 0.04923275934928108]",
,False,T25,2.9957744237035513,joint_margin_interior_gate,,,,,True,hemisphere/T25,,,,,0.2974513767441394,0.0,,,"[-1.8550417114812416, -0.8686581252816001, 3.402194783682578]",,hemisphere,7.034353054128587,"[[0.804731977196968, -0.5789420459546236, -0.13127281631218707, -0.12351559840554106], [0.5911405920675321, 0.7612439266785042, 0.2665717248793275, 0.380674858594007], [-0.054398945639655645, -0.2921194815841061, 0.9548334740635809, 0.3291412009143519], [0.0, 0.0, 0.0, 1.0]]","[0.05125612066098377, -0.05628122888882119, 0.04778771311232104]",
,False,T26,11.378512946888804,joint_margin_interior_gate,,,,,True,hemisphere/T26,,,,,0.11571713468858641,0.0,,,"[-4.613578062400611, 9.522516446465328, -15.60022120874786]",,hemisphere,16.137115449644625,"[[0.9254799047795392, -0.35181944704078555, 0.1403923877322812, -0.22268025717318987], [0.3006774830344225, 0.9077221291807149, 0.2926321708078497, 0.46311304216941734], [-0.23039096563307312, -0.22861236379414357, 0.9458627754992341, 0.22879118880041846], [0.0, 0.0, 0.0, 1.0]]","[-0.04790853810666504, 0.02615695468658913, -0.052562299001612384]",
112.59634532197111,True,T27,4.068688622675836,,0.9625,0.9166666666666666,0.7541666666666667,0.3125,True,hemisphere/T27,4.118571468612939,1.0475606316411947,240,0.08872634795636042,0.2025774493986393,0.5574676442098125,1.5557607433016205,2.3954466830212695,"[1.0538631428249463, 6.094096859034742, 10.030288220975269]",True,hemisphere,9.139320127665997,"[[0.7209541095413957, -0.6920204689487627, -0.036508115417093354, -0.16459344112199387], [0.681025362927107, 0.697785639083825, 0.2220352605744875, 0.45916926159109356], [-0.128178106497855, -0.18494018612598212, 0.9743549150952704, 0.3045590618062725], [0.0, 0.0, 0.0, 1.0]]","[0.010178277944530967, 0.022213174108265357, 0.023205574004241655]",results/riemannian_anisotropy_utility_v1/r0_scene_calibration/witnesses/hemisphere_T27.npz
,False,T28,2.24570800550282,continuous_lift_not_found_under_budget,,,,,False,hemisphere/T28,,,,,,,,,"[-4.51473177600753, -5.65156498359868, 9.346594367292091]",,hemisphere,2.4706537555903196,"[[0.7438182584773337, -0.6229707292257471, -0.24216083267879476, -0.19315535966193442], [0.6683175533348354, 0.6881867053172492, 0.28240167586104964, 0.4908949986292087], [-0.009276112347629751, -0.37189585793946506, 0.9282281102116997, 0.317749764531138], [0.0, 0.0, 0.0, 1.0]]","[-0.01838364059540959, 0.05393891114638048, 0.036396276729107196]",
110.56435792753993,True,T29,4.466153192333877,,0.9625,0.9166666666666666,0.7291666666666666,0.30416666666666664,True,hemisphere/T29,3.947037511314892,1.0970177757521147,240,0.09993152623125551,0.20413994234553565,0.6278697793109784,1.5555336647950913,2.4655839646808144,"[0.09989384483264097, -3.0040582641013263, -18.368063021486137]",True,hemisphere,10.766903450712562,"[[0.9676538184123247, -0.24308364714317074, -0.0675013200139262, -0.18339308181158637], [0.2522396960477542, 0.9273320456613956, 0.2764605086213729, 0.4554823933248535], [-0.004606891553380625, -0.2845445792508198, 0.9586517401899344, 0.3351945700472229], [0.0, 0.0, 0.0, 1.0]]","[-0.00862136274506154, 0.01852630584202529, 0.05384108224519209]",results/riemannian_anisotropy_utility_v1/r0_scene_calibration/witnesses/hemisphere_T29.npz
97.87425025524621,True,T30,8.355314589105546,,0.975,0.7958333333333333,0.32916666666666666,0.18333333333333332,True,hemisphere/T30,4.0479361451793,0.5744428132214499,240,0.08059473755347592,0.17540986421151197,0.5063767360484892,0.8993771415884649,1.95084478103017,"[8.205468002286022, 3.124212170692678, 19.008416046315382]",True,hemisphere,12.85880342964083,"[[0.6143607495461008, -0.7852077914932624, -0.07752156858208294, -0.13883415467981453], [0.7888417598023638, 0.6091272962603828, 0.08180840386186393, 0.47644545760784823], [-0.017016092649695006, -0.11141212289867478, 0.993628598351591, 0.26747123150924484], [0.0, 0.0, 0.0, 1.0]]","[0.03593756438671031, 0.039489370125020004, -0.013882256292785985]",results/riemannian_anisotropy_utility_v1/r0_scene_calibration/witnesses/hemisphere_T30.npz
117.0367035007508,True,T31,2.7747371355071664,,0.9541666666666667,0.9,0.6833333333333333,0.2708333333333333,True,hemisphere/T31,4.786464966747208,0.9890255839055027,240,0.07407762222587454,0.13424924051298634,0.46542970044516974,1.4472148219075054,2.0772004742230656,"[8.317181380282449, 9.465769948295815, 8.906507766998438]",True,hemisphere,9.063113211654127,"[[0.7364592691118632, -0.6748422911840285, 0.047070446871803916, -0.167876612657043], [0.667740208630372, 0.736330494448142, 0.10927221386986717, 0.4394682732256444], [-0.10840091658970272, -0.0490437047463344, 0.9928967500738768, 0.3025001309628284], [0.0, 0.0, 0.0, 1.0]]","[0.0068951064094818215, 0.0025121857428161837, 0.02114664316079755]",results/riemannian_anisotropy_utility_v1/r0_scene_calibration/witnesses/hemisphere_T31.npz
