R_G0,R_q,anchor_id,anisotropy_level,expensive_direction_wins,maximum_relative_paired_length_mismatch,mean_sign_asymmetry,min_sigma_min_5,minimum_absolute_joint_margin_rad,surface_id,valid_probe_lengths
1.5226486702688071,1.3325717880622114,A09,P_low,True,3.0829692097833483e-09,0.0301291118958268,0.7611609106334174,0.9076721331852711,hemisphere,2
1.6665019222318618,1.621339057591893,A10,P_low,True,1.0457673789432409e-08,0.03452378169794805,0.5407230097145596,0.5797959271800863,hemisphere,2
1.3636996320451664,1.2319175532652107,A11,P_low,True,6.4263095712890905e-09,0.05605869298543811,0.5154269576416453,0.7427267676502867,hemisphere,2
1.1209501674133333,0.9936366970905778,A12,P_low,False,6.422074894443797e-09,0.048063562569431256,0.7420907756819477,1.1687392835211532,hemisphere,2
1.203969367331329,0.9355785096592457,A13,P_low,False,1.6164190862547057e-08,0.06774794941756575,0.911631483919096,1.4478548621967315,hemisphere,2
1.1578196791938096,1.1160458681991354,A14,P_low,True,1.2947631682080907e-08,0.027734932682710718,1.0128826388637646,1.4868941972042693,hemisphere,2
1.556498223750012,1.4638047718123182,A00,P_mid,True,9.756440447206138e-09,0.007733433986730109,0.7223834705205981,1.6731157042258447,hemisphere,2
1.5234129654928672,1.332900646507305,A01,P_mid,True,2.325448752830972e-08,0.033621822413287435,0.7496957364937363,2.174993502555362,hemisphere,2
3.3718048126265945,2.6482134641049617,A02,P_mid,True,1.7225852905547456e-08,0.006150994413866738,0.65865238236162,2.0963574630224824,hemisphere,2
3.7605594964135354,2.864739678667942,A03,P_mid,True,1.2105002547210808e-08,0.02802781629421078,0.5131199647749647,1.8554822226136976,hemisphere,2
4.022810856932688,3.2072775772985396,A04,P_mid,True,1.892494754657248e-08,0.09870751948042122,0.39721495412092195,1.64121004257167,hemisphere,2
2.892766773603475,3.202948748543646,A05,P_mid,True,2.0662569745477644e-08,0.07189889111610151,0.3180944841851961,1.3741764328950015,hemisphere,2
2.187583588699631,2.224243286856265,A06,P_mid,True,1.7667130779164264e-08,0.033417424613641784,0.47235454678862077,1.4248818627010449,hemisphere,2
1.8281752624483527,1.8794311497924006,A07,P_mid,True,1.912969500687811e-08,0.056460595349040535,0.5785352706323401,1.4629986139302633,hemisphere,2
1.3244350932283717,1.3712420039621716,A08,P_mid,True,1.2136336423676508e-08,0.07315820632565169,0.615309759938607,1.1818476399329163,hemisphere,2
1.0873990830378064,0.9771298965842675,A09,P_mid,False,1.1746103005180752e-08,0.06064816424540008,0.6809740647362355,1.0739659127878767,hemisphere,2
1.6610667505216616,1.763276578611907,A10,P_mid,True,1.591149542852499e-08,0.02533283566341253,0.47836632993074457,0.6170336532882983,hemisphere,2
2.1055595070412694,2.008122192240449,A11,P_mid,True,2.4003136934666602e-08,0.07948892884900899,0.3342090558502618,0.7262267061784655,hemisphere,2
1.6719346515064593,1.4977382314405951,A12,P_mid,True,3.932416892116208e-09,0.0589028452323848,0.6047469832097074,1.2917927833588638,hemisphere,2
1.8020506022568505,1.453626664098281,A13,P_mid,True,1.1939490195123081e-08,0.04817468615198022,0.6861388719030062,1.5662272289630697,hemisphere,2
1.5272192229808164,1.399152128729093,A14,P_mid,True,1.1717686499920776e-08,0.04013598817567332,0.7199901596943867,1.6326568955880618,hemisphere,2
2.596615473854469,2.018294074136981,A00,P_high,True,3.6306255311174818e-09,0.09037821349467264,0.9692932868602351,1.1486766815967284,saddle,2
1.2483492494669841,1.3343442879293248,A01,P_high,True,1.9268533166597046e-08,0.05227332720304072,0.8318861093802729,1.440286492209161,saddle,2
1.666123175757398,1.601307496878447,A02,P_high,True,9.777743502012437e-09,0.05912218453783971,0.906048544912025,1.3985936864886108,saddle,2
1.795468960950272,1.6573458897329112,A03,P_high,True,5.914050933003567e-09,0.058237739015323094,0.897696497776497,1.4464495542362377,saddle,2
1.3053979191978173,1.454909997834746,A04,P_high,True,2.978995305644161e-09,0.03992131390299526,0.815273162018023,1.562023717452,saddle,2
2.5317857846879197,1.935144069430086,A05,P_high,True,1.0195498958975868e-09,0.03136261972078674,0.984380419820196,1.2281273541861868,saddle,2
1.4276735016440172,1.4265056117540686,A06,P_high,True,9.48797182313832e-09,0.02830792228908594,0.7662268856341112,1.6433215868544515,saddle,2
2.0635781942662565,1.9002632802026764,A07,P_high,True,8.421561625143736e-09,0.028685090211244352,0.8758953481458442,1.5093324600290794,saddle,2
2.2270333704083938,1.8192172015209709,A08,P_high,True,6.258707527934115e-09,0.05501543049920986,0.9114765158483111,1.4572828734327095,saddle,2
3.4454233752226857,2.797204209291984,A09,P_high,True,1.1432661674998235e-08,0.06270525779265297,0.8016394656665954,1.4869930030990277,saddle,2
2.1850134091810642,1.8240605158006142,A10,P_high,True,8.36657804668961e-09,0.03946612707183688,0.9665757191947727,1.3114268943949163,saddle,2
3.116209925937924,2.417360040818155,A11,P_high,True,1.9197167726997533e-09,0.06654846112317453,0.7771678402068574,1.3968448279118277,saddle,2
1.9951573633802426,1.7019786534345405,A12,P_high,True,8.829384489164593e-09,0.06551876247463476,0.9556069479960249,1.1995594549445059,saddle,2
8.518328520074098,6.903271234378325,A13,P_high,True,1.269568217915351e-10,0.13660557668386075,0.3557105727384441,1.3990416520714444,saddle,2
2.6304099309363935,2.1173562624181796,A14,P_high,True,2.6245455461704204e-10,0.06744932277941909,0.9454070788954061,1.1302188049204673,saddle,2
1.571744482410761,1.2474315337083788,A00,P_low,True,3.137509783229797e-10,0.08040657706065533,0.6986994721631744,1.1504013005068936,saddle,2
1.3751110544873328,1.2152350610967584,A01,P_low,True,2.2822553525855827e-08,0.04055458402229978,0.8135931636624968,1.2411690918241556,saddle,2
1.1714480981319684,1.0359317652237436,A02,P_low,True,1.0529776269668778e-08,0.054991799640922476,0.7642510191376555,1.2906177686845435,saddle,2
1.1153048636271048,0.9783990102451786,A03,P_low,False,5.942318252044609e-09,0.03218306678995428,0.7530742263507866,1.3325526947883808,saddle,2
1.3550222660968179,1.256630213976115,A04,P_low,True,2.2321063834068733e-08,0.047971286417286825,0.7666819339591335,1.3820246878797828,saddle,2
