L_G_integrated,L_q_actual,L_q_per_surface_length,R_G0,anchor_id,anisotropy_level,continuation_runtime,eigen_direction,failure_reason,kappa_R,lift_found,max_axis_error,max_position_error,min_joint_limit_margin,min_sigma_min_5,minimum_absolute_joint_margin_rad,probe_length_requested,relative_length_error,shared_q_hash,sign,sqrt_lambda_initial,strict_kinematics_pass,surface_id,surface_length_actual,witness_index
0.029067353108177738,0.02604844818811465,6.512112052865057,2.605606416017279,A02,P_low,0.5573091171681881,max,,6.789184795190411,True,0.0074712647508543995,0.0009997208097869993,0.2683010931608133,1.0612706287341198,1.9732904024388207,0.004,8.96236860767341e-10,2304da2ab8173dee85c0d7a7ea69d13a55ecd5d287bc0f3c3f641744ae27e0eb,-1,7.242130205182453,True,hemisphere,0.003999999996415053,773
0.028703441625179453,0.027992784626776353,6.998196159448579,2.605606416017279,A02,P_low,0.5622689537703991,max,,6.789184795190411,True,0.007474228636708399,0.0009965027606312462,0.26793871015111287,1.0635187073542443,1.9883422122509975,0.004,3.9360008308175765e-10,2304da2ab8173dee85c0d7a7ea69d13a55ecd5d287bc0f3c3f641744ae27e0eb,1,7.242130205182453,True,hemisphere,0.0039999999984256,773
0.021980940001784056,0.02399626160536008,2.9995327019850464,2.605606416017279,A02,P_low,0.6172170517966151,min,,6.789184795190411,True,0.003617091548875489,0.0009967432359107927,0.2670948125976651,1.0610726016856589,1.9883422122509975,0.008,4.3841384515797e-10,2304da2ab8173dee85c0d7a7ea69d13a55ecd5d287bc0f3c3f641744ae27e0eb,-1,2.7794413464226078,True,hemisphere,0.00799999999649269,773
0.022363918296033437,0.023865031641294374,2.983128962313302,2.605606416017279,A02,P_low,0.6166262459009886,min,,6.789184795190411,True,0.003640068251166265,0.0009994468587256645,0.2683010931608133,1.0635187073542443,1.987495164430305,0.008,2.397316936977867e-09,2304da2ab8173dee85c0d7a7ea69d13a55ecd5d287bc0f3c3f641744ae27e0eb,1,2.7794413464226078,True,hemisphere,0.007999999980821465,773
0.05840583319077179,0.05571497769726948,6.964372212171598,2.605606416017279,A02,P_low,0.6172818820923567,max,,6.789184795190411,True,0.0074712647508543995,0.0009997208097869993,0.2683010931608133,1.058688281009014,1.956181491255797,0.008,1.8542025553847097e-12,2304da2ab8173dee85c0d7a7ea69d13a55ecd5d287bc0f3c3f641744ae27e0eb,-1,7.242130205182453,True,hemisphere,0.007999999999985167,773
0.05695167754862625,0.05597702085455339,6.997127625750077,2.605606416017279,A02,P_low,0.6186810154467821,max,,6.789184795190411,True,0.007474228636708399,0.0009965027606312462,0.26757188147519606,1.0635187073542443,1.9883422122509975,0.008,2.7055250401142317e-09,2304da2ab8173dee85c0d7a7ea69d13a55ecd5d287bc0f3c3f641744ae27e0eb,1,7.242130205182453,True,hemisphere,0.0079999999783558,773
0.013017843904414572,0.01597483464401746,3.993708683599822,2.3206120747634227,A03,P_low,0.5879163481295109,min,,5.385240401537797,True,0.0038204650903558017,0.000990920778015339,0.27125423398255594,1.019542210970568,1.7492574533141518,0.004,5.657762886662754e-09,75ee7ced967cd8a4b8fcb267efedf98e9a6aa2c29724c98a79a730cc09f36311,-1,3.279307840601457,True,hemisphere,0.0039999999773689485,1172
0.013056885244091982,0.015946884430136397,3.9867211126747018,2.3206120747634227,A03,P_low,0.5717037376016378,min,,5.385240401537797,True,0.0038389867615015102,0.0009951387580971064,0.271881245091462,1.0209083222586277,1.749435247985734,0.004,1.2894312353961546e-09,75ee7ced967cd8a4b8fcb267efedf98e9a6aa2c29724c98a79a730cc09f36311,1,3.279307840601457,True,hemisphere,0.003999999994842275,1172
0.030206540012522643,0.030148905415052885,7.5372265010853745,2.3206120747634227,A03,P_low,0.5756815280765295,max,,5.385240401537797,True,0.007199201527129896,0.0009880211801463039,0.271881245091462,1.0154493109550689,1.7292159046397235,0.004,1.9545936917608753e-08,75ee7ced967cd8a4b8fcb267efedf98e9a6aa2c29724c98a79a730cc09f36311,-1,7.610001371766107,True,hemisphere,0.003999999921816252,1172
0.029680728154559407,0.03006835406837255,7.517088546496751,2.3206120747634227,A03,P_low,0.5748989637941122,max,,5.385240401537797,True,0.0071538945110539865,0.0009853379706899555,0.2715091175852829,1.0209083222586277,1.749435247985734,0.004,3.911569419062788e-09,75ee7ced967cd8a4b8fcb267efedf98e9a6aa2c29724c98a79a730cc09f36311,1,7.610001371766107,True,hemisphere,0.003999999984353722,1172
