E_NUC,L_G,L_q,L_q_over_L_G,archive_abs_error,local_pearson,local_spearman,overall_pass,placement_id,skeleton_id,surface_id
0.44901983528066636,21.790391797239643,23.67116179814539,1.0863118946371584,0.0,0.9860735184097693,0.9752866597778098,True,P_easy,S15,saddle
0.44065287130751946,21.75130919472961,23.637891750323654,1.0867342070633232,0.0,0.9862819541465427,0.9768291143021424,True,P_easy,S16,saddle
0.44931851237886583,21.8066145123793,23.688069147197144,1.086279079852114,0.0,0.9859040910104941,0.9745716755880182,True,P_easy,S17,saddle
0.4462441559917947,21.767112770170055,23.65052459335646,1.0865255692416615,0.0,0.9862801448151864,0.9753523458835343,True,P_easy,S18,saddle
0.4467274107517488,21.732439481043457,23.607831861239575,1.08629460957809,0.0,0.9858549912039385,0.9743635379063388,True,P_easy,S19,saddle
0.44476383775521366,22.825328029422245,23.84415957058962,1.0446360087291664,0.0,0.5698660844600575,0.9723342430373376,True,P_mid,S00,saddle
0.44278537539492036,22.675567711166146,23.700237336149016,1.0451882677441537,7.105427357601002e-15,0.5667219020552116,0.9856510115697102,True,P_mid,S01,saddle
0.44815092934592615,22.67576269689831,23.702352640861996,1.0452725651474606,0.0,0.5644743032981723,0.9838947281180409,True,P_mid,S02,saddle
0.4441777910391512,22.709533058708107,23.734330500120954,1.0451263105570496,0.0,0.5683609848917526,0.9851550428074234,True,P_mid,S03,saddle
0.4413439898272677,22.727223532667,23.751852502426594,1.0450837722560717,0.0,0.5718054507157173,0.9851274379771094,True,P_mid,S04,saddle
0.4416710204428552,22.830328009730003,23.849179370803412,1.0446271013118684,0.0,0.5733509246492287,0.9796882971923798,True,P_mid,S05,saddle
0.4520436758849927,22.643392602367005,23.670690006770926,1.045368528578908,0.0,0.5603202742413732,0.97829590837792,True,P_mid,S06,saddle
0.44645440620154153,22.78340448560185,23.806808668735766,1.0449188436162233,3.552713678800501e-15,0.5703621536574989,0.9795600464077167,True,P_mid,S07,saddle
0.4483912057736571,22.68806698272183,23.715313799174098,1.045276965077482,0.0,0.5669139498191615,0.9836423227276316,True,P_mid,S08,saddle
0.4451780536159957,22.7316532949872,23.755300885788113,1.0450318143391113,0.0,0.5667162135514814,0.9841168517793293,True,P_mid,S09,saddle
0.4412199306917917,22.76812393022481,23.78956582241982,1.0448628044772295,3.552713678800501e-15,0.5723871673784442,0.984521986350266,True,P_mid,S10,saddle
0.4414699931653151,22.790320994408095,23.812586134553133,1.0448552322012428,3.552713678800501e-15,0.5751632945366593,0.9845975952001987,True,P_mid,S11,saddle
0.44647273356874406,22.71689672578382,23.742166261009313,1.045132464508755,3.552713678800501e-15,0.5667846071959005,0.9837813986949882,True,P_mid,S12,saddle
0.4475181320334628,22.76854819795942,23.79047068301019,1.044883076257904,0.0,0.5701546738027587,0.9794704162053189,True,P_mid,S13,saddle
0.44551932977489483,22.685236192898323,23.711900199342367,1.045256923829845,0.0,0.5687385259262424,0.9845827857472249,True,P_mid,S14,saddle
0.44901983528066636,22.704649548079832,23.729209580343845,1.0451255602996374,0.0,0.5638962688818412,0.9796523335746934,True,P_mid,S15,saddle
0.44065287130751946,22.760060398414666,23.783586035407964,1.0449702513559493,0.0,0.5747521849000025,0.9850645940121656,True,P_mid,S16,saddle
0.44931851237886583,22.69745310929851,23.723491425732917,1.0452049977366873,0.0,0.5643575459233504,0.9797390716265957,True,P_mid,S17,saddle
0.4462441559917947,22.72253830748835,23.746542004817456,1.0450655504887691,0.0,0.5671318630346797,0.9836747076886165,True,P_mid,S18,saddle
0.4467274107517488,22.756344927095572,23.78068248472794,1.0450132726021704,0.0,0.5729944442960576,0.98245875160667,True,P_mid,S19,saddle
0.44476383775521366,26.405686277406367,27.50566880356496,1.0416570322998866,0.0,0.9951919429571451,0.9903390484058123,True,P_hard,S00,saddle
0.44278537539492036,26.20427956028339,27.32471660952977,1.042757788729463,0.0,0.9943386368924968,0.9920823800574042,True,P_hard,S01,saddle
0.44815092934592615,26.322553286358968,27.422178941196783,1.041775037659727,0.0,0.9942674880291215,0.9923647874173368,True,P_hard,S02,saddle
0.4441777910391512,26.30274596041412,27.415653607467707,1.0423114624126515,0.0,0.994488990145162,0.9918529779228676,True,P_hard,S03,saddle
