directed_transition_jaccard,geometric_path_distance,normalized_sequence_distance,skeleton_a,skeleton_b,surface_id,tangent_disagreement,tree_edge_jaccard,undirected_transition_jaccard
0.49825783972125437,0.05610454715757657,0.5879629629629629,S01,S07,saddle,1.0332384164924904,0.5955056179775281,0.49825783972125437
0.799163179916318,0.011432356014882943,0.18518518518518517,S01,S08,saddle,0.3905094505043188,0.8441558441558441,0.799163179916318
0.6862745098039216,0.04331786221107705,0.375,S01,S09,saddle,0.7971731539187572,0.7530864197530864,0.6862745098039216
0.5636363636363636,0.06353403575372712,0.5833333333333334,S01,S10,saddle,1.0618509353681196,0.6511627906976745,0.5636363636363636
0.5636363636363636,0.05427954197415427,0.5416666666666666,S01,S11,saddle,0.9629614706641202,0.6511627906976745,0.5636363636363636
0.6862745098039216,0.031233722360942604,0.37037037037037035,S01,S12,saddle,0.7461652066713463,0.7530864197530864,0.6862745098039216
0.47766323024054985,0.05833527174455863,0.6203703703703703,S01,S13,saddle,1.037276306382658,0.5777777777777777,0.47766323024054985
0.799163179916318,0.01748467239214249,0.23148148148148148,S01,S14,saddle,0.49872976411757974,0.8441558441558441,0.799163179916318
0.5867158671586716,0.041036631506349966,0.5,S01,S15,saddle,0.9299220510699445,0.6705882352941176,0.5867158671586716
0.7408906882591093,0.022287778863533506,0.27314814814814814,S01,S16,saddle,0.557368271691807,0.7974683544303798,0.7408906882591093
0.6349809885931559,0.03381428878896907,0.4074074074074074,S01,S17,saddle,0.8625639543359324,0.7108433734939759,0.6349809885931559
0.6349809885931559,0.042282367900681836,0.4675925925925926,S01,S18,saddle,0.9165467308745011,0.7108433734939759,0.6349809885931559
0.519434628975265,0.04252484153797596,0.5648148148148148,S01,S19,saddle,0.9250503807602657,0.6136363636363636,0.519434628975265
0.8614718614718615,0.02330950643423095,0.16666666666666666,S02,S03,saddle,0.4582535006396225,0.8933333333333333,0.8614718614718615
0.7695473251028807,0.022686165414978685,0.27314814814814814,S02,S04,saddle,0.5165629064342233,0.8205128205128205,0.7695473251028807
0.519434628975265,0.06698796120462233,0.6296296296296297,S02,S05,saddle,1.070970472691662,0.6136363636363636,0.519434628975265
0.799163179916318,0.024761333175414804,0.26851851851851855,S02,S06,saddle,0.565204523538104,0.8441558441558441,0.799163179916318
